date,co2_ppm,humidity_pct,soil_temp_F
2025-08-12T12:01:00Z,409,14.6,82.4
2025-08-12T12:02:00Z,411,13.6,82.4
2025-08-12T12:03:00Z,412,14.3,82.5
2025-08-12T12:04:00Z,412,16.3,82.5
2025-08-12T12:05:00Z,411,16.5,82.5
2025-08-12T12:06:00Z,412,14.7,82.7
2025-08-12T12:07:00Z,411,13.8,82.7
2025-08-12T12:08:00Z,411,13.9,82.9
2025-08-12T12:09:00Z,411,13.7,82.9
2025-08-12T12:10:00Z,411,14.5,82.9
2025-08-12T12:11:00Z,411,13.9,83.1
2025-08-12T12:12:00Z,411,13.8,83.1
2025-08-12T12:13:00Z,411,12.9,83.1
2025-08-12T12:14:00Z,411,14.2,83.3
2025-08-12T12:15:00Z,410,14.2,83.3
2025-08-12T12:16:00Z,411,14.7,83.3
2025-08-12T12:17:00Z,411,13.3,83.4
2025-08-12T12:18:00Z,411,14,83.4
2025-08-12T12:19:00Z,410,13.7,83.4
2025-08-12T12:20:00Z,409,14.6,83.6
2025-08-12T12:21:00Z,409,14.1,83.6
2025-08-12T12:22:00Z,409,12.9,83.6
2025-08-12T12:23:00Z,409,13.5,83.8
2025-08-12T12:24:00Z,410,13.4,83.8
2025-08-12T12:25:00Z,410,13.4,83.8
2025-08-12T12:26:00Z,410,12.5,84
2025-08-12T12:27:00Z,409,11.8,84
2025-08-12T12:28:00Z,410,12.7,84
2025-08-12T12:29:00Z,410,12.1,84
2025-08-12T12:30:00Z,410,11.8,84.2
2025-08-12T12:31:00Z,410,11.3,84.2
2025-08-12T12:32:00Z,409,11.4,84.2
2025-08-12T12:33:00Z,410,12.8,84.2
2025-08-12T12:34:00Z,410,12.9,84.3
2025-08-12T12:35:00Z,410,13.2,84.3
2025-08-12T12:36:00Z,410,11.9,84.3
2025-08-12T12:37:00Z,411,11.8,84.3
2025-08-12T12:38:00Z,412,12,84.3
2025-08-12T12:39:00Z,412,11.9,84.3
2025-08-12T12:40:00Z,412,12.1,84.5
2025-08-12T12:41:00Z,411,12.4,84.5
2025-08-12T12:42:00Z,411,13.1,84.5
2025-08-12T12:43:00Z,411,12.1,84.5
2025-08-12T12:44:00Z,411,11,84.5
2025-08-12T12:45:00Z,411,11.6,84.5
2025-08-12T12:46:00Z,411,11.2,84.5
2025-08-12T12:47:00Z,411,10.9,84.5
2025-08-12T12:48:00Z,412,11.4,84.5
2025-08-12T12:49:00Z,411,12.1,84.5
2025-08-12T12:50:00Z,411,12.5,84.5
2025-08-12T12:51:00Z,411,12,84.5
2025-08-12T12:52:00Z,412,12.7,84.5
2025-08-12T12:53:00Z,412,13.9,84.5
2025-08-12T12:54:00Z,412,12.1,84.5
2025-08-12T12:55:00Z,412,11.3,84.5
2025-08-12T12:56:00Z,412,11.4,84.5
2025-08-12T12:57:00Z,412,12.7,84.5
2025-08-12T12:58:00Z,412,12.4,84.5
2025-08-12T12:59:00Z,412,12.6,84.5
2025-08-12T13:00:00Z,412,11.8,84.5
2025-08-12T13:01:00Z,412,11.2,84.5
2025-08-12T13:02:00Z,412,11.6,84.5
2025-08-12T13:03:00Z,412,12.1,84.7
2025-08-12T13:04:00Z,412,11.2,84.7
2025-08-12T13:05:00Z,412,11.4,84.7
2025-08-12T13:06:00Z,412,12.1,84.7
2025-08-12T13:07:00Z,411,12,84.7
2025-08-12T13:08:00Z,410,11.5,84.7
2025-08-12T13:09:00Z,410,11.4,84.7
2025-08-12T13:10:00Z,410,11.5,84.7
2025-08-12T13:11:00Z,410,10.8,84.7
2025-08-12T13:12:00Z,409,10.7,84.7
2025-08-12T13:13:00Z,409,10.9,84.7
2025-08-12T13:14:00Z,410,11,84.9
2025-08-12T13:15:00Z,409,11.8,84.9
2025-08-12T13:16:00Z,410,12.6,84.9
2025-08-12T13:17:00Z,410,12.4,84.9
2025-08-12T13:18:00Z,410,12.3,84.9
2025-08-12T13:19:00Z,410,12.4,84.9
2025-08-12T13:20:00Z,410,11.6,84.9
2025-08-12T13:21:00Z,409,11.3,84.9
2025-08-12T13:22:00Z,409,11.5,85.1
2025-08-12T13:23:00Z,409,11.5,85.1
2025-08-12T13:24:00Z,409,11.6,85.1
2025-08-12T13:25:00Z,409,11.2,85.1
2025-08-12T13:26:00Z,410,11.4,85.1
2025-08-12T13:27:00Z,409,12.5,85.1
2025-08-12T13:28:00Z,409,12.4,85.1
2025-08-12T13:29:00Z,410,11.8,85.1
2025-08-12T13:30:00Z,410,12.2,85.1
2025-08-12T13:31:00Z,410,11.7,85.1
2025-08-12T13:32:00Z,409,11.2,85.2
2025-08-12T13:33:00Z,409,11.4,85.2
2025-08-12T13:34:00Z,409,12.5,85.2
2025-08-12T13:35:00Z,408,12.4,85.2
2025-08-12T13:36:00Z,409,11.8,85.2
2025-08-12T13:37:00Z,410,11.3,85.2
2025-08-12T13:38:00Z,410,11.4,85.2
2025-08-12T13:39:00Z,410,12.7,85.2
2025-08-12T13:40:00Z,410,12.6,85.2
2025-08-12T13:41:00Z,410,12,85.2
2025-08-12T13:42:00Z,410,11.2,85.2
2025-08-12T13:43:00Z,410,11.2,85.2
2025-08-12T13:44:00Z,409,11.1,85.2
2025-08-12T13:45:00Z,409,11,85.2
2025-08-12T13:46:00Z,409,11,85.2
2025-08-12T13:47:00Z,410,10.6,85.2
2025-08-12T13:48:00Z,411,10.9,85.2
2025-08-12T13:49:00Z,411,11.6,85.2
2025-08-12T13:50:00Z,410,11.7,85.2
2025-08-12T13:51:00Z,409,11.2,85.2
2025-08-12T13:52:00Z,409,11.2,85.2
2025-08-12T13:53:00Z,409,11.6,85.2
2025-08-12T13:54:00Z,408,11.3,85.2
2025-08-12T13:55:00Z,408,12.3,85.2
2025-08-12T13:56:00Z,408,12.7,85.2
2025-08-12T13:57:00Z,408,11.5,85.2
2025-08-12T13:58:00Z,409,10.8,85.2
2025-08-12T13:59:00Z,409,11.3,85.2
2025-08-12T14:00:00Z,408,10.9,85.2
2025-08-12T14:01:00Z,409,10.9,85.2
2025-08-12T14:02:00Z,408,11.3,85.2
2025-08-12T14:03:00Z,408,11.3,85.2
2025-08-12T14:04:00Z,409,11.3,85.2
