collect_time,air_temperature,air_humidity,soil_temperature,soil_humidity,rainfall,wind_speed,light_intensity,co2,ph_value,ec_value,nutrient,pest_type,pest_count
2026-01-01 08:00:00,15.2,65.3,12.5,45.2,0.0,2.3,35000,420,6.8,1.2,25.5,蚜虫,12
2026-01-01 12:00:00,18.5,58.2,14.2,42.1,0.0,3.1,65000,410,6.7,1.3,26.0,无,0
2026-01-01 16:00:00,16.8,62.5,13.8,43.5,0.0,2.8,45000,415,6.9,1.1,24.8,白粉虱,8
2026-01-02 08:00:00,14.5,70.2,11.8,48.5,2.5,1.8,28000,430,6.6,1.4,27.2,无,0
2026-01-02 12:00:00,17.2,63.8,13.5,44.2,0.0,2.5,58000,418,6.8,1.2,25.8,蚜虫,5
2026-01-02 16:00:00,15.8,67.5,12.8,46.8,1.2,2.2,38000,425,6.7,1.3,26.5,无,0
2026-01-03 08:00:00,13.2,75.5,10.5,52.3,5.8,1.5,22000,445,6.5,1.5,28.0,菜青虫,15
2026-01-03 12:00:00,16.5,68.2,12.2,47.5,0.0,2.8,52000,432,6.6,1.4,27.5,无,0
2026-01-03 16:00:00,14.8,72.8,11.5,50.2,3.2,1.8,32000,438,6.5,1.5,28.5,蚜虫,18
2026-01-04 08:00:00,12.5,78.2,9.8,55.8,8.5,1.2,18000,455,6.4,1.6,29.0,无,0
2026-01-04 12:00:00,15.8,70.5,11.8,49.2,0.0,2.5,48000,440,6.5,1.5,28.2,红蜘蛛,22
2026-01-04 16:00:00,14.2,74.5,10.8,52.8,4.5,1.5,28000,448,6.4,1.6,29.5,无,0
2026-01-05 08:00:00,16.8,62.5,14.2,42.5,0.0,3.2,55000,405,6.9,1.1,24.2,蚜虫,8
2026-01-05 12:00:00,20.2,55.8,16.5,38.2,0.0,4.1,72000,395,7.0,1.0,23.5,无,0
2026-01-05 16:00:00,18.5,59.2,15.2,40.8,0.0,3.5,52000,400,6.8,1.2,25.0,白粉虱,10
2026-01-06 08:00:00,17.5,58.2,14.8,41.5,0.0,2.8,48000,408,6.9,1.1,24.5,无,0
2026-01-06 12:00:00,21.5,52.5,17.8,36.5,0.0,4.5,78000,390,7.1,0.9,22.8,蚜虫,6
2026-01-06 16:00:00,19.2,56.8,16.2,39.2,0.0,3.8,58000,398,7.0,1.0,23.8,无,0
2026-01-07 08:00:00,15.8,68.5,13.2,46.5,1.5,2.2,42000,428,6.7,1.3,26.2,菜青虫,12
2026-01-07 12:00:00,18.8,60.2,15.5,42.8,0.0,3.2,62000,415,6.8,1.2,25.5,无,0
2026-02-01 08:00:00,18.5,58.2,15.2,42.5,0.0,2.8,48000,405,6.8,1.2,25.0,蚜虫,10
2026-02-01 12:00:00,22.5,52.8,18.5,38.2,0.0,3.5,72000,395,7.0,1.0,23.5,无,0
2026-02-01 16:00:00,20.2,56.5,16.8,40.5,0.0,3.2,55000,400,6.9,1.1,24.2,白粉虱,8
2026-02-02 08:00:00,17.8,62.5,14.5,44.8,0.5,2.5,42000,415,6.7,1.3,26.0,无,0
2026-02-02 12:00:00,21.2,55.2,17.2,40.2,0.0,3.8,65000,402,6.9,1.1,24.5,红蜘蛛,15
2026-02-02 16:00:00,19.5,58.8,15.8,42.5,0.0,3.2,52000,408,6.8,1.2,25.2,无,0
2026-03-01 08:00:00,20.5,55.8,17.2,40.2,0.0,3.2,55000,398,7.0,1.0,23.5,蚜虫,12
2026-03-01 12:00:00,25.2,48.5,20.8,35.5,0.0,4.5,82000,385,7.2,0.8,22.0,无,0
2026-03-01 16:00:00,22.8,52.2,18.5,38.2,0.0,3.8,62000,392,7.1,0.9,22.8,菜青虫,18
2026-03-02 08:00:00,19.8,58.5,16.5,42.5,0.0,2.8,48000,408,6.9,1.1,24.5,无,0
2026-03-02 12:00:00,24.5,50.2,19.8,36.8,0.0,4.2,75000,390,7.1,0.9,22.5,蚜虫,8
2026-03-02 16:00:00,22.2,54.5,18.2,39.5,0.0,3.5,58000,395,7.0,1.0,23.2,无,0
2026-04-01 08:00:00,22.5,52.8,19.2,38.5,0.0,3.5,58000,395,7.0,1.0,23.5,白粉虱,15
2026-04-01 12:00:00,28.2,45.5,23.5,32.8,0.0,5.2,88000,380,7.3,0.7,21.0,无,0
2026-04-01 16:00:00,25.8,48.8,21.2,35.5,0.0,4.5,68000,385,7.2,0.8,21.8,蚜虫,10
2026-04-02 08:00:00,21.8,55.2,18.5,40.8,0.0,3.2,52000,402,6.9,1.1,24.2,无,0
2026-04-02 12:00:00,27.5,46.8,22.8,33.5,0.0,4.8,82000,382,7.2,0.8,21.5,红蜘蛛,20
2026-04-02 16:00:00,25.2,50.5,20.5,36.2,0.0,4.2,65000,388,7.1,0.9,22.5,无,0
2026-05-01 08:00:00,25.2,48.5,21.5,35.8,0.0,4.2,65000,388,7.1,0.9,22.5,蚜虫,15
2026-05-01 12:00:00,32.5,40.2,27.8,28.5,0.0,6.5,95000,370,7.5,0.6,19.5,无,0
2026-05-01 16:00:00,29.8,43.5,25.2,31.2,0.0,5.5,78000,375,7.3,0.7,20.5,菜青虫,22
2026-05-02 08:00:00,24.5,50.8,20.8,37.5,0.0,3.8,58000,395,7.0,1.0,23.2,无,0
2026-05-02 12:00:00,31.8,42.5,27.2,29.8,0.0,6.2,92000,372,7.4,0.6,20.0,蚜虫,12
2026-05-02 16:00:00,28.5,45.8,24.5,32.5,0.0,5.2,72000,378,7.2,0.8,21.2,无,0
2026-06-01 08:00:00,28.5,45.2,24.8,32.2,0.0,5.2,72000,378,7.2,0.8,21.2,红蜘蛛,25
2026-06-01 12:00:00,35.2,38.5,30.5,25.8,0.0,7.5,98000,365,7.6,0.5,18.5,无,0
2026-06-01 16:00:00,32.5,42.2,28.2,28.5,0.0,6.2,82000,370,7.4,0.6,19.8,白粉虱,18
2026-06-02 08:00:00,27.8,48.5,24.2,33.8,0.0,4.8,68000,382,7.1,0.9,22.5,无,0
2026-06-02 12:00:00,34.5,40.8,29.8,26.5,0.0,7.2,95000,368,7.5,0.5,19.0,蚜虫,20
