registration_no,pesticide_name,category,formulation,total_content,toxicity,active_ingredient,crop_or_site,control_target,application_method,holder,valid_until,source_url
DEMO-PD-0001,吡虫啉可湿性粉剂,杀虫剂,可湿性粉剂,10%,低毒,吡虫啉,水稻,稻飞虱,喷雾,智慧农场演示数据,2027-12-31,DEMO_DATA_NOT_REAL
DEMO-PD-0002,噻虫嗪水分散粒剂,杀虫剂,水分散粒剂,25%,低毒,噻虫嗪,小麦,蚜虫,喷雾,智慧农场演示数据,2027-12-31,DEMO_DATA_NOT_REAL
DEMO-PD-0003,阿维菌素乳油,杀虫剂,乳油,1.8%,低毒,阿维菌素,黄瓜,红蜘蛛,喷雾,智慧农场演示数据,2027-12-31,DEMO_DATA_NOT_REAL
DEMO-PD-0004,甲维盐水分散粒剂,杀虫剂,水分散粒剂,5%,低毒,甲氨基阿维菌素苯甲酸盐,玉米,草地贪夜蛾,喷雾,智慧农场演示数据,2027-12-31,DEMO_DATA_NOT_REAL
DEMO-PD-0005,苏云金杆菌悬浮剂,生物杀虫剂,悬浮剂,8000IU/微升,低毒,苏云金杆菌,甘蓝,菜青虫,喷雾,智慧农场演示数据,2027-12-31,DEMO_DATA_NOT_REAL
DEMO-PD-0006,多菌灵可湿性粉剂,杀菌剂,可湿性粉剂,50%,低毒,多菌灵,番茄,灰霉病,喷雾,智慧农场演示数据,2027-12-31,DEMO_DATA_NOT_REAL
DEMO-PD-0007,代森锰锌可湿性粉剂,杀菌剂,可湿性粉剂,80%,低毒,代森锰锌,马铃薯,晚疫病,喷雾,智慧农场演示数据,2027-12-31,DEMO_DATA_NOT_REAL
DEMO-PD-0008,苯醚甲环唑水分散粒剂,杀菌剂,水分散粒剂,10%,低毒,苯醚甲环唑,苹果,斑点落叶病,喷雾,智慧农场演示数据,2027-12-31,DEMO_DATA_NOT_REAL
DEMO-PD-0009,嘧菌酯悬浮剂,杀菌剂,悬浮剂,25%,低毒,嘧菌酯,葡萄,霜霉病,喷雾,智慧农场演示数据,2027-12-31,DEMO_DATA_NOT_REAL
DEMO-PD-0010,三环唑可湿性粉剂,杀菌剂,可湿性粉剂,75%,低毒,三环唑,水稻,稻瘟病,喷雾,智慧农场演示数据,2027-12-31,DEMO_DATA_NOT_REAL
DEMO-PD-0011,戊唑醇悬浮剂,杀菌剂,悬浮剂,43%,低毒,戊唑醇,小麦,赤霉病,喷雾,智慧农场演示数据,2027-12-31,DEMO_DATA_NOT_REAL
DEMO-PD-0012,烯酰吗啉水分散粒剂,杀菌剂,水分散粒剂,50%,低毒,烯酰吗啉,黄瓜,霜霉病,喷雾,智慧农场演示数据,2027-12-31,DEMO_DATA_NOT_REAL
DEMO-PD-0013,精喹禾灵乳油,除草剂,乳油,10.8%,低毒,精喹禾灵,大豆,一年生禾本科杂草,茎叶喷雾,智慧农场演示数据,2027-12-31,DEMO_DATA_NOT_REAL
DEMO-PD-0014,草甘膦异丙胺盐水剂,除草剂,水剂,41%,低毒,草甘膦异丙胺盐,果园,杂草,定向喷雾,智慧农场演示数据,2027-12-31,DEMO_DATA_NOT_REAL
DEMO-PD-0015,赤霉酸可溶粉剂,植物生长调节剂,可溶粉剂,20%,低毒,赤霉酸,葡萄,调节生长,喷雾,智慧农场演示数据,2027-12-31,DEMO_DATA_NOT_REAL
